resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,status_supercategory
349,1143,842,214,10,8,9.0,9,9,0,19,+14.513,1637523.0,19.0,1:24.930,1,Término Competitivo
350,1143,825,210,20,15,10.0,10,10,0,19,+15.485,1638495.0,18.0,1:24.568,1,Término Competitivo
351,1143,4,117,14,11,11.0,11,11,0,19,+19.204,1642214.0,19.0,1:24.281,1,Término Competitivo
352,1143,822,15,77,13,12.0,12,12,0,19,+23.351,1646361.0,12.0,1:25.447,1,Término Competitivo
353,1143,840,117,18,14,13.0,13,13,0,19,+24.421,1647431.0,18.0,1:25.369,1,Término Competitivo
354,1143,839,214,31,17,14.0,14,14,0,19,+30.379,1653389.0,19.0,1:25.598,1,Término Competitivo
355,1143,848,3,23,12,15.0,15,15,0,19,+33.062,1656072.0,18.0,1:25.443,1,Término Competitivo
356,1143,859,215,30,10,16.0,16,16,0,19,+34.356,1657366.0,18.0,1:25.762,1,Término Competitivo
357,1143,852,215,22,16,17.0,17,17,0,19,+35.102,1658112.0,17.0,1:25.838,1,Término Competitivo
358,1143,861,3,43,0,18.0,18,18,0,19,+35.639,1658649.0,18.0,1:25.599,1,Término Competitivo
359,1143,855,15,24,18,19.0,19,19,0,19,+1:11.436,1694446.0,19.0,1:25.051,1,Término Competitivo
360,1143,815,9,11,0,20.0,20,20,0,19,+1:14.371,1697381.0,18.0,1:24.892,1,Término Competitivo
