resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,status_supercategory
161,1110,830,9,1,1,1.0,1,1,8,11,24:58.433,1498433.0,6.0,1:58.943,1,Término Competitivo
162,1110,857,1,81,2,2.0,2,2,7,11,+6.677,1505110.0,2.0,2:00.360,1,Término Competitivo
163,1110,842,214,10,6,3.0,3,3,6,11,+10.733,1509166.0,6.0,2:01.857,1,Término Competitivo
164,1110,832,6,55,3,4.0,4,4,5,11,+12.648,1511081.0,7.0,2:01.472,1,Término Competitivo
165,1110,844,6,16,4,5.0,5,5,4,11,+15.016,1513449.0,7.0,2:02.635,1,Término Competitivo
166,1110,846,1,4,5,6.0,6,6,3,11,+16.052,1514485.0,8.0,2:02.085,1,Término Competitivo
167,1110,1,131,44,7,7.0,7,7,2,11,+16.757,1515190.0,7.0,2:00.920,1,Término Competitivo
168,1110,847,131,63,10,8.0,8,8,1,11,+16.822,1515255.0,10.0,2:01.935,1,Término Competitivo
169,1110,839,214,31,9,9.0,9,9,0,11,+22.410,1520843.0,6.0,2:03.061,1,Término Competitivo
170,1110,817,213,3,11,10.0,10,10,0,11,+22.806,1521239.0,8.0,2:02.967,1,Término Competitivo
171,1110,840,117,18,14,11.0,11,11,0,11,+25.007,1523440.0,6.0,2:03.356,1,Término Competitivo
172,1110,848,3,23,12,12.0,12,12,0,11,+26.303,1524736.0,6.0,2:03.674,1,Término Competitivo
173,1110,822,51,77,17,13.0,13,13,0,11,+27.006,1525439.0,6.0,2:03.595,1,Término Competitivo
174,1110,825,210,20,18,14.0,14,14,0,11,+32.986,1531419.0,6.0,2:03.965,1,Término Competitivo
175,1110,855,51,24,19,15.0,15,15,0,11,+36.342,1534775.0,6.0,2:04.760,1,Término Competitivo
176,1110,858,3,2,13,16.0,16,16,0,11,+37.571,1536004.0,6.0,2:03.482,1,Término Competitivo
177,1110,807,210,27,20,17.0,17,17,0,11,+37.827,1536260.0,6.0,2:03.472,1,Término Competitivo
178,1110,852,213,22,16,18.0,18,18,0,11,+39.267,1537700.0,7.0,2:02.080,1,Término Competitivo
179,1110,815,9,11,8,,R,19,0,8,,,2.0,2:02.516,130,Incidente de Piloto
180,1110,4,117,14,15,,R,20,0,2,,,,,3,Incidente de Piloto
181,1115,857,1,81,1,1.0,1,1,8,19,35:01.297,2101297.0,17.0,1:25.926,1,Término Competitivo
182,1115,830,9,1,3,2.0,2,2,7,19,+1.871,2103168.0,17.0,1:25.604,1,Término Competitivo
183,1115,846,1,4,2,3.0,3,3,6,19,+8.497,2109794.0,19.0,1:25.662,1,Término Competitivo
184,1115,847,131,63,4,4.0,4,4,5,19,+11.036,2112333.0,18.0,1:27.220,1,Término Competitivo
185,1115,1,131,44,12,5.0,5,5,4,19,+17.314,2118611.0,19.0,1:27.968,1,Término Competitivo
186,1115,832,6,55,5,6.0,6,6,3,19,+18.806,2120103.0,7.0,1:28.644,1,Término Competitivo
187,1115,848,3,23,17,7.0,7,7,2,19,+19.864,2121161.0,16.0,1:28.717,1,Término Competitivo
188,1115,4,117,14,9,8.0,8,8,1,19,+21.180,2122477.0,16.0,1:28.717,1,Término Competitivo
189,1115,842,214,10,11,9.0,9,9,0,19,+21.742,2123039.0,16.0,1:28.769,1,Término Competitivo
190,1115,822,51,77,13,10.0,10,10,0,19,+22.208,2123505.0,17.0,1:29.017,1,Término Competitivo
191,1115,852,213,22,18,11.0,11,11,0,19,+22.863,2124160.0,17.0,1:29.381,1,Término Competitivo
192,1115,844,6,16,6,12.0,12,12,0,19,+24.860,2126157.0,8.0,1:28.759,1,Término Competitivo
193,1115,840,117,18,16,13.0,13,13,0,19,+24.523,2125820.0,17.0,1:29.536,1,Término Competitivo
194,1115,825,210,20,19,14.0,14,14,0,19,+24.970,2126267.0,17.0,1:29.560,1,Término Competitivo
195,1115,855,51,24,15,15.0,15,15,0,19,+26.868,2128165.0,17.0,1:29.553,1,Término Competitivo
196,1115,807,210,27,7,,R,16,0,11,,,9.0,1:29.307,31,Procedimento/Regulamentação
197,1115,839,214,31,10,,R,17,0,10,,,8.0,1:29.388,31,Procedimento/Regulamentação
198,1115,815,9,11,8,,R,18,0,10,,,9.0,1:28.584,31,Procedimento/Regulamentação
199,1115,858,3,2,20,,R,19,0,2,,,2.0,2:03.562,31,Procedimento/Regulamentação
