resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,status_supercategory
24510,1025,848,9,23,0,5.0,5,5,10.0,53,+38.348,5657340.0,50.0,4,1:36.762,217.573,1,Término Competitivo
24511,1025,832,1,55,5,6.0,6,6,8.0,53,+45.889,5664881.0,53.0,6,1:38.020,214.780,1,Término Competitivo
24512,1025,815,211,11,11,7.0,7,7,6.0,53,+48.728,5667720.0,49.0,7,1:38.043,214.730,1,Término Competitivo
24513,1025,846,1,4,7,8.0,8,8,4.0,53,+57.749,5676741.0,52.0,11,1:38.301,214.166,1,Término Competitivo
24514,1025,825,210,20,13,9.0,9,9,2.0,53,+58.779,5677771.0,53.0,8,1:38.130,214.539,1,Término Competitivo
24515,1025,807,4,27,6,10.0,10,10,1.0,53,+59.841,5678833.0,53.0,12,1:38.519,213.692,1,Término Competitivo
24516,1025,840,211,18,14,11.0,11,11,0.0,53,+1:00.821,5679813.0,53.0,15,1:38.611,213.493,1,Término Competitivo
24517,1025,826,5,26,19,12.0,12,12,0.0,53,+1:02.496,5681488.0,52.0,9,1:38.228,214.325,1,Término Competitivo
24518,1025,8,51,7,15,13.0,13,13,0.0,53,+1:08.910,5687902.0,51.0,13,1:38.589,213.541,1,Término Competitivo
24519,1025,842,5,10,16,14.0,14,14,0.0,53,+1:10.076,5689068.0,51.0,14,1:38.606,213.504,1,Término Competitivo
24520,1025,841,51,99,12,15.0,15,15,0.0,53,+1:13.346,5692338.0,51.0,16,1:38.696,213.309,1,Término Competitivo
24521,1025,9,3,88,18,,R,16,0.0,28,,,24.0,19,1:42.327,205.740,23,Falha Mecânica
24522,1025,847,3,63,17,,R,17,0.0,27,,,18.0,18,1:41.705,206.998,23,Falha Mecânica
24523,1025,20,6,5,3,,R,18,0.0,26,,,16.0,10,1:38.245,214.288,75,Procedimento/Regulamentação
24524,1025,817,4,3,10,,R,19,0.0,24,,,22.0,17,1:41.284,207.859,4,Incidente de Piloto
24525,1025,154,210,8,8,,R,20,0.0,0,,,,0,,,4,Incidente de Piloto
24526,1026,822,131,77,3,1.0,1,1,25.0,52,1:21:46.755,4906755.0,49.0,4,1:31.862,227.571,1,Término Competitivo
24527,1026,20,6,5,1,2.0,2,2,18.0,52,+13.343,4920098.0,38.0,5,1:32.122,226.929,1,Término Competitivo
24528,1026,1,131,44,4,3.0,3,3,16.0,52,+13.858,4920613.0,45.0,1,1:30.983,229.770,1,Término Competitivo
24529,1026,848,9,23,6,4.0,4,4,12.0,52,+59.537,4966292.0,36.0,8,1:32.775,225.332,1,Término Competitivo
24530,1026,832,1,55,7,5.0,5,5,10.0,52,+1:09.101,4975856.0,46.0,12,1:33.563,223.434,1,Término Competitivo
24531,1026,844,6,16,2,6.0,6,6,8.0,51,,,48.0,2,1:31.611,228.195,11,Término Competitivo
24532,1026,842,5,10,9,7.0,7,7,6.0,51,,,43.0,17,1:35.321,219.313,11,Término Competitivo
24533,1026,815,211,11,17,8.0,8,8,4.0,51,,,46.0,7,1:32.621,225.706,11,Término Competitivo
24534,1026,840,211,18,12,9.0,9,9,2.0,51,,,26.0,14,1:34.713,220.721,11,Término Competitivo
24535,1026,826,5,26,14,10.0,10,10,1.0,51,,,47.0,10,1:33.239,224.210,11,Término Competitivo
24536,1026,846,1,4,8,11.0,11,11,0.0,51,,,31.0,13,1:34.116,222.121,11,Término Competitivo
24537,1026,8,51,7,13,12.0,12,12,0.0,51,,,50.0,9,1:33.190,224.328,11,Término Competitivo
24538,1026,154,210,8,10,13.0,13,13,0.0,51,,,18.0,16,1:34.988,220.082,11,Término Competitivo
24539,1026,841,51,99,11,14.0,14,14,0.0,51,,,51.0,6,1:32.369,226.322,11,Término Competitivo
24540,1026,825,210,20,19,15.0,15,15,0.0,51,,,49.0,3,1:31.732,227.894,11,Término Competitivo
24541,1026,847,3,63,18,16.0,16,16,0.0,50,,,27.0,18,1:35.458,218.998,12,Término Competitivo
24542,1026,9,3,88,0,17.0,17,17,0.0,50,,,44.0,19,1:36.332,217.012,12,Término Competitivo
24543,1026,830,9,33,5,,R,18,0.0,14,,,10.0,20,1:37.249,214.965,23,Falha Mecânica
24544,1026,817,4,3,16,,D,19,0.0,51,,,48.0,11,1:33.481,223.630,2,Procedimento/Regulamentação
24545,1026,807,4,27,15,,D,20,0.0,51,,,47.0,15,1:34.921,220.237,2,Procedimento/Regulamentação
24546,1027,1,131,44,3,1.0,1,1,25.0,71,1:36:48.904,5808904.0,66.0,4,1:19.461,194.993,1,Término Competitivo
24547,1027,20,6,5,2,2.0,2,2,18.0,71,+1.766,5810670.0,68.0,3,1:19.381,195.190,1,Término Competitivo
24548,1027,822,131,77,6,3.0,3,3,15.0,71,+3.553,5812457.0,66.0,5,1:19.494,194.912,1,Término Competitivo
24549,1027,844,6,16,1,4.0,4,4,13.0,71,+6.368,5815272.0,53.0,1,1:19.232,195.557,1,Término Competitivo
24550,1027,848,9,23,5,5.0,5,5,10.0,71,+21.399,5830303.0,48.0,2,1:19.325,195.328,1,Término Competitivo
24551,1027,830,9,33,4,6.0,6,6,8.0,71,+1:08.807,5877711.0,65.0,11,1:20.406,192.702,1,Término Competitivo
