Distance,Speed,Time,Driver,raceId,RaceName,LapNumber
513.4963888888889,109.0,0 days 00:00:07.705000,NOR,1122,Saudi Arabia,1
520.401936644474,104.020832,0 days 00:00:07.944000,NOR,1122,Saudi Arabia,1
520.4297222222223,104.0,0 days 00:00:07.945000,NOR,1122,Saudi Arabia,1
524.7242356501363,100.0249984,0 days 00:00:08.104000,NOR,1122,Saudi Arabia,1
528.8363163380751,96.0249984,0 days 00:00:08.264000,NOR,1122,Saudi Arabia,1
530.8741666666667,94.0,0 days 00:00:08.345000,NOR,1122,Saudi Arabia,1
532.834790068772,91.531248,0 days 00:00:08.424000,NOR,1122,Saudi Arabia,1
534.8297222222222,89.0,0 days 00:00:08.505000,NOR,1122,Saudi Arabia,1
538.7289248543698,88.20499968,0 days 00:00:08.664000,NOR,1122,Saudi Arabia,1
539.7186111111112,88.0,0 days 00:00:08.705000,NOR,1122,Saudi Arabia,1
543.4792665584454,85.61499904,0 days 00:00:08.864000,NOR,1122,Saudi Arabia,1
544.4408333333333,85.0,0 days 00:00:08.905000,NOR,1122,Saudi Arabia,1
550.9811177160166,85.0,0 days 00:00:09.184000,NOR,1122,Saudi Arabia,1
553.8852777777778,85.0,0 days 00:00:09.305000,NOR,1122,Saudi Arabia,1
556.8070446573633,87.12500114285714,0 days 00:00:09.424000,NOR,1122,Saudi Arabia,1
560.8852777777778,90.0,0 days 00:00:09.585000,NOR,1122,Saudi Arabia,1
564.5161153881835,93.4499968,0 days 00:00:09.723000,NOR,1122,Saudi Arabia,1
566.1630555555555,95.0,0 days 00:00:09.785000,NOR,1122,Saudi Arabia,1
569.2986100244286,95.9833344,0 days 00:00:09.903000,NOR,1122,Saudi Arabia,1
572.6297222222222,97.0,0 days 00:00:10.025000,NOR,1122,Saudi Arabia,1
573.7046595189996,98.4250048,0 days 00:00:10.063000,NOR,1122,Saudi Arabia,1
579.6963888888889,106.0,0 days 00:00:10.265000,NOR,1122,Saudi Arabia,1
580.2498756400162,106.54999608888889,0 days 00:00:10.283000,NOR,1122,Saudi Arabia,1
588.600740878336,114.49444835555556,0 days 00:00:10.543000,NOR,1122,Saudi Arabia,1
591.3963888888889,117.0,0 days 00:00:10.625000,NOR,1122,Saudi Arabia,1
594.8490218799848,124.3499904,0 days 00:00:10.723000,NOR,1122,Saudi Arabia,1
597.1297222222222,129.0,0 days 00:00:10.785000,NOR,1122,Saudi Arabia,1
600.9249062047421,133.65499392,0 days 00:00:10.883000,NOR,1122,Saudi Arabia,1
613.5741666666667,148.0,0 days 00:00:11.185000,NOR,1122,Saudi Arabia,1
614.3743401769865,148.4773883891816,0 days 00:00:11.204000,NOR,1122,Saudi Arabia,1
622.0316666666666,153.0,0 days 00:00:11.384000,NOR,1122,Saudi Arabia,1
628.3608434284972,160.0,0 days 00:00:11.524000,NOR,1122,Saudi Arabia,1
635.0205555555555,167.0,0 days 00:00:11.664000,NOR,1122,Saudi Arabia,1
644.0085475825249,174.65,0 days 00:00:11.844000,NOR,1122,Saudi Arabia,1
